epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,23478.2,1.66641,1.97892,1.64148,0.48172,0.42222,0.43053,0.18256,1.90308,2.27135,1.89569,0.005149,0.005149,0.005149
149,23636.1,1.6782,1.96101,1.65095,0.48273,0.42222,0.43026,0.18295,1.90638,2.2715,1.89709,0.005116,0.005116,0.005116
150,23794.2,1.66481,1.97712,1.64021,0.47885,0.42222,0.42994,0.18327,1.90855,2.26911,1.89832,0.005083,0.005083,0.005083
151,23952.3,1.66257,1.94611,1.63856,0.47538,0.42083,0.42946,0.18337,1.90552,2.26978,1.89791,0.00505,0.00505,0.00505
152,24110.4,1.67459,1.98023,1.64657,0.4786,0.42083,0.42998,0.18331,1.90859,2.27185,1.89937,0.005017,0.005017,0.005017
153,24268.6,1.67737,1.96987,1.65169,0.47478,0.42083,0.42927,0.18359,1.90904,2.27147,1.89967,0.004984,0.004984,0.004984
154,24426.8,1.65482,1.97051,1.63257,0.47785,0.42222,0.42953,0.18287,1.90912,2.27044,1.90004,0.004951,0.004951,0.004951
155,24584.8,1.66659,1.96275,1.65691,0.47727,0.42083,0.42957,0.18315,1.90922,2.26843,1.90077,0.004918,0.004918,0.004918
156,24742.8,1.65233,1.9516,1.63428,0.47477,0.42222,0.42938,0.183,1.91111,2.26594,1.90266,0.004885,0.004885,0.004885
157,24901.1,1.6542,1.93146,1.64484,0.47458,0.42222,0.42911,0.1824,1.91038,2.26746,1.90334,0.004852,0.004852,0.004852
158,25059,1.65917,1.98302,1.64441,0.47942,0.42361,0.42948,0.18257,1.91123,2.26471,1.9044,0.004819,0.004819,0.004819
159,25216.9,1.65953,1.93333,1.63674,0.48404,0.425,0.43101,0.18332,1.91229,2.26492,1.90574,0.004786,0.004786,0.004786
160,25375,1.64611,1.88881,1.62898,0.48614,0.4231,0.43093,0.18348,1.9131,2.26416,1.90667,0.004753,0.004753,0.004753
161,25533,1.65273,1.92156,1.62991,0.48526,0.425,0.42999,0.18333,1.91404,2.2642,1.90778,0.00472,0.00472,0.00472
162,25691,1.64964,1.92752,1.62359,0.48413,0.425,0.42969,0.18318,1.9158,2.26233,1.90923,0.004687,0.004687,0.004687
163,25848.9,1.63281,1.90693,1.61793,0.48907,0.42276,0.43024,0.18411,1.91668,2.25976,1.90974,0.004654,0.004654,0.004654
164,26007.1,1.63366,1.90697,1.61204,0.4768,0.43333,0.43072,0.18418,1.91789,2.25953,1.91074,0.004621,0.004621,0.004621
165,26165.2,1.63501,1.92689,1.6078,0.47614,0.43472,0.42936,0.18404,1.91913,2.25606,1.91173,0.004588,0.004588,0.004588
166,26323.1,1.61721,1.90025,1.60271,0.47979,0.43472,0.42978,0.18467,1.91993,2.25502,1.91274,0.004555,0.004555,0.004555
167,26481.8,1.63524,1.86819,1.60094,0.47185,0.4375,0.42809,0.18461,1.92179,2.25321,1.91399,0.004522,0.004522,0.004522
168,26640.2,1.62305,1.9088,1.61011,0.47736,0.43611,0.42983,0.18401,1.92258,2.25205,1.9145,0.004489,0.004489,0.004489
169,26798.4,1.61052,1.88956,1.59217,0.47226,0.44123,0.43033,0.18427,1.92365,2.24993,1.91554,0.004456,0.004456,0.004456
170,26956.5,1.62241,1.92229,1.60658,0.47257,0.43889,0.42823,0.18388,1.92469,2.24809,1.9169,0.004423,0.004423,0.004423
171,27114.4,1.61255,1.86592,1.60673,0.47467,0.43889,0.4282,0.18416,1.92674,2.24534,1.91839,0.00439,0.00439,0.00439
172,27272.4,1.61551,1.8314,1.59864,0.47127,0.44028,0.42712,0.18364,1.92778,2.24216,1.9189,0.004357,0.004357,0.004357
173,27430,1.60823,1.83662,1.59563,0.47277,0.44028,0.42704,0.18365,1.93035,2.23777,1.92072,0.004324,0.004324,0.004324
174,27588,1.61761,1.87343,1.60986,0.47164,0.44012,0.42661,0.18266,1.93091,2.23699,1.92154,0.004291,0.004291,0.004291
175,27745.9,1.61533,1.87097,1.59984,0.46999,0.44028,0.42634,0.18317,1.9327,2.23743,1.9228,0.004258,0.004258,0.004258
176,27906.6,1.62096,1.84172,1.60233,0.47346,0.44167,0.42711,0.18318,1.93477,2.23571,1.92441,0.004225,0.004225,0.004225
177,28064.8,1.60383,1.83993,1.59388,0.47094,0.44167,0.42727,0.18336,1.93602,2.23379,1.92596,0.004192,0.004192,0.004192
178,28223.1,1.58339,1.84713,1.57218,0.47077,0.43889,0.42648,0.18296,1.93775,2.23302,1.92798,0.004159,0.004159,0.004159
179,28381.1,1.59228,1.80768,1.57975,0.47341,0.43827,0.42879,0.18362,1.93872,2.23145,1.92873,0.004126,0.004126,0.004126
180,28538.9,1.59635,1.83186,1.59483,0.47216,0.4398,0.42911,0.18413,1.94025,2.2308,1.9305,0.004093,0.004093,0.004093
181,28697.1,1.60088,1.84957,1.59107,0.47735,0.44017,0.43014,0.18442,1.94152,2.22802,1.9312,0.00406,0.00406,0.00406
182,28855.2,1.58236,1.77258,1.57939,0.47541,0.44028,0.42983,0.18415,1.94178,2.2248,1.9328,0.004027,0.004027,0.004027
183,29013.2,1.57459,1.82645,1.57133,0.47736,0.43385,0.42955,0.1844,1.94312,2.22311,1.93411,0.003994,0.003994,0.003994
184,29171.5,1.57711,1.79792,1.57208,0.4712,0.43611,0.4298,0.18441,1.94523,2.22258,1.93529,0.003961,0.003961,0.003961
185,29329.4,1.56803,1.78676,1.5668,0.46951,0.44028,0.42808,0.18413,1.94628,2.22216,1.93682,0.003928,0.003928,0.003928
186,29487.7,1.57803,1.80789,1.57338,0.4683,0.44167,0.42795,0.18438,1.94916,2.21797,1.93937,0.003895,0.003895,0.003895
187,29645.6,1.56517,1.80404,1.57277,0.47063,0.44028,0.42668,0.18353,1.94896,2.21785,1.94024,0.003862,0.003862,0.003862
